Lane,Special,150
Lane,Right,592
Lane,Left,432
Right,Bomb,0
Special,DoubleScore,50
Special,SpeedUp,100
Special,SlowDown,150
Special,SpeedUp,200
Special,SpeedUp,250
Right,Hold,300
Left,Hold,350
Right,Bomb,400
Right,Normal,450
Right,Hold,500
Special,SpeedUp,600
Left,Normal,750
Left,Normal,800
Right,Normal,900
Special,SlowDown,950
Right,Normal,1150
Special,SlowDown,1200
Left,Normal,1250
Left,Normal,1300
Special,DoubleScore,1350
Left,Normal,1450
Right,Normal,1500
Left,Normal,1550
Right,Normal,1600
